"special_issue","num_papers","flags","prop_flag","deadline","latest_sub","rt_sum_vector2","d_over_deadline"
"https://www.mdpi.com/journal/agronomy/special_issues/residue_bioactive_crop",6,0,0,2024-03-15,2024-02-13,"0,0,0,0,0,0",31
"https://www.mdpi.com/journal/agronomy/special_issues/Nematodes-Crops",12,6,0.5,2023-07-20,2023-05-24,"6,6",57
"https://www.mdpi.com/journal/agronomy/special_issues/farmland_remediation",5,0,0,2023-11-25,2023-11-28,"0,0",-3
"https://www.mdpi.com/journal/agronomy/special_issues/plant_weed_allelopathy",9,3,0.333,2021-12-10,2021-12-31,"0,0,0,0,3,3",-21
"https://www.mdpi.com/journal/agronomy/special_issues/DFA55E8S0E",15,1,0.067,2023-09-30,2023-11-11,"1,1",-42
"https://www.mdpi.com/journal/agronomy/special_issues/6PKO606HRU",5,1,0.2,2024-05-31,2024-04-03,"0,0,1,1,0,0",58
"https://www.mdpi.com/journal/agronomy/special_issues/Potential-Strategies",8,2,0.25,2023-06-15,2023-02-02,"2,2,2,2",133
"https://www.mdpi.com/journal/agronomy/special_issues/Remediation_Soil",13,5,0.385,2020-07-31,2020-10-06,"5,5,5,5",-67
"https://www.mdpi.com/journal/agronomy/special_issues/Livestock_Forage",12,4,0.333,2022-10-25,2022-10-24,"4,4,0,0",1
"https://www.mdpi.com/journal/agronomy/special_issues/Molecular_Genetics_Genomics_Biotechnology_Crop_Plants_Breeding",13,0,0,2019-06-30,2019-06-30,"0,0",0
"https://www.mdpi.com/journal/agronomy/special_issues/WSBH0CJ195",5,1,0.2,2024-05-30,2024-05-06,"0,0,0,0,1,1",24
"https://www.mdpi.com/journal/agronomy/special_issues/environmentally_economically_phosphorus_agriculture",12,1,0.083,2021-09-30,2021-09-27,"1,1",3
"https://www.mdpi.com/journal/agronomy/special_issues/4O761R3Q69",8,2,0.25,2024-05-20,2024-05-16,"1,1,1,1,1,1",4
"https://www.mdpi.com/journal/agronomy/special_issues/extension_soil_fertility",11,3,0.273,2022-09-29,2022-08-23,"0,0,1,1,2,2,0,0",37
"https://www.mdpi.com/journal/agronomy/special_issues/Pesticide_Residues_Nutritional",12,2,0.167,2023-05-30,2023-03-08,"2,2,0,0",83
"https://www.mdpi.com/journal/agronomy/special_issues/crop_pathogens_genetics",6,1,0.167,2024-01-25,2024-01-11,"1,1",14
"https://www.mdpi.com/journal/agronomy/special_issues/77H3BS6964",13,1,0.077,2023-12-25,2023-12-03,"0,0,1,1",22
"https://www.mdpi.com/journal/agronomy/special_issues/soilless_substrate",8,1,0.125,2021-07-15,2021-06-07,"0,0,1,1,0,0",38
"https://www.mdpi.com/journal/agronomy/special_issues/greenhouse_technology",10,0,0,2020-12-31,2020-12-15,"0,0",16
"https://www.mdpi.com/journal/agronomy/special_issues/biotic_stress_crops",11,1,0.091,2023-01-31,2023-01-13,"0,0,1,1",18
"https://www.mdpi.com/journal/agronomy/special_issues/nanotechnologies_fertilization_plant_protection",10,0,0,2022-07-20,2022-03-23,"0,0",119
"https://www.mdpi.com/journal/agronomy/special_issues/plant_based_solutions",8,3,0.375,2021-12-31,2022-01-01,"3,3",-1
"https://www.mdpi.com/journal/agronomy/special_issues/Maximizing_Crop_Yield_Resource_Use_Efficiency",6,1,0.167,2023-01-25,2022-11-12,"1,1",74
"https://www.mdpi.com/journal/agronomy/special_issues/biostimulants_bioeffectors_crop",11,1,0.091,2021-01-15,2021-01-21,"1,1",-6
"https://www.mdpi.com/journal/agronomy/special_issues/forage_growth_livestock_grazing",11,2,0.182,2022-12-31,2022-07-13,"2,2,0,0,0,0",171
"https://www.mdpi.com/journal/agronomy/special_issues/Arbuscular_Mycorrhizal",6,1,0.167,2023-02-15,2023-03-29,"1,1,0,0,0,0",-42
"https://www.mdpi.com/journal/agronomy/special_issues/weed_management_annual_perennial_cropping_system",5,1,0.2,2019-05-31,2019-09-16,"0,0,1,1",-108
"https://www.mdpi.com/journal/agronomy/special_issues/postharvest_vegetable_fruit_series_II",7,2,0.286,2022-06-30,2022-03-01,"1,1,0,0,1,1",121
"https://www.mdpi.com/journal/agronomy/special_issues/breeding_rights",18,3,0.167,2021-09-15,2021-09-17,"2,2,2,2",-2
"https://www.mdpi.com/journal/agronomy/special_issues/cultivation_fruit_crop_nutritional",8,3,0.375,2022-06-10,2022-05-19,"3,3",22
"https://www.mdpi.com/journal/agronomy/special_issues/H8766465L8",1,1,1,2024-06-30,2023-11-22,"1,1",221
"https://www.mdpi.com/journal/agronomy/special_issues/Humic-Fertilizer",12,2,0.167,2021-04-30,2021-06-30,"2,2",-61
"https://www.mdpi.com/journal/agronomy/special_issues/satellite_imagery_agriculture",9,1,0.111,2023-05-31,2023-08-07,"1,1,0,0",-68
"https://www.mdpi.com/journal/agronomy/special_issues/fruit_nut_tree_phenology",6,2,0.333,2020-03-01,2020-02-24,"2,2",6
"https://www.mdpi.com/journal/agronomy/special_issues/Crops_Abiotic_Stresses",8,2,0.25,2023-05-15,2023-05-22,"2,2",-7
"https://www.mdpi.com/journal/agronomy/special_issues/agricultural_water_management",10,1,0.1,2019-03-15,2019-06-25,"1,1",-102
"https://www.mdpi.com/journal/agronomy/special_issues/Crop_Modelling",7,0,0,2023-02-15,2023-04-11,"0,0",-55
"https://www.mdpi.com/journal/agronomy/special_issues/Seed_Dormancy_Germination",12,3,0.25,2021-05-03,2021-10-26,"3,3,2,2",-176
"https://www.mdpi.com/journal/agronomy/special_issues/UJ9L0Z9U5E",NA,NA,NA,NA,NA,NA,NA
"https://www.mdpi.com/journal/agronomy/special_issues/cropmonitoring_cropprecision",9,3,0.333,2022-07-25,2022-08-10,"2,2,1,1,0,0",-16
"https://www.mdpi.com/journal/agronomy/special_issues/HR1I1CAO06",5,0,0,2023-08-31,2023-08-01,"0,0",30
"https://www.mdpi.com/journal/agronomy/special_issues/in_vitro-based_systems",8,1,0.125,2022-06-30,2022-06-30,"0,0,1,1",0
"https://www.mdpi.com/journal/agronomy/special_issues/5HCSK5VU5J",6,0,0,2024-04-20,2024-04-27,"0,0",-7
"https://www.mdpi.com/journal/agronomy/special_issues/soil_ecosystem",6,0,0,2022-10-31,2022-11-28,"0,0,0,0,0,0",-28
"https://www.mdpi.com/journal/agronomy/special_issues/germplasm_exploitation_product_innovation",10,4,0.4,2020-12-20,2020-12-05,"4,4",15
"https://www.mdpi.com/journal/agronomy/special_issues/CF6VB52OUN",6,1,0.167,2024-03-31,2024-02-05,"1,1,1,1",55
"https://www.mdpi.com/journal/agronomy/special_issues/YC0Y9JTJX6",8,3,0.375,2023-12-31,2023-06-29,"2,2,2,2,0,0,1,1",185
"https://www.mdpi.com/journal/agronomy/special_issues/Invasive_Plants_Management",5,1,0.2,2019-10-31,2019-07-18,"1,1",105
"https://www.mdpi.com/journal/agronomy/special_issues/Global_Urban_Agriculture",6,2,0.333,2022-01-15,2022-01-14,"1,1,1,1",1
"https://www.mdpi.com/journal/agronomy/special_issues/Agronomic_Traits",21,3,0.143,2022-07-31,2022-09-17,"0,0,2,2,0,0,1,1",-48
"https://www.mdpi.com/journal/agronomy/special_issues/climate_conservation_agriculture",9,4,0.444,2021-09-30,2022-05-09,"0,0,3,3,0,0,0,0,1,1,0,0",-221
