"","V1"
"1","Statistiek der Belastingen@@@@@@Published: 01 March 1881 Issue Date: March 1881@@@@@@"
"2","Über den Einflu\ der Röntgenstrahlen auf die Zellteilung@@@@@@Received: 27 March 1923 Issue Date: March 1923@@@@@@"
"3","Zur Frage der Speicherung von kolloidalen Vitalfarbstoffen und Aufschwemmungen in der Leber@@@@@@Received: 05 October 1930 Issue Date: December 1931@@@@@@"
"4","Grundlagen und Grenzgebiete der Lebensmittelwissenschaft@@@@@@Issue Date: August 1964@@@@@@"
"5","Neue Geräte und Chemikalien@@@@@@Issue Date: January 1966@@@@@@"
"6","On the coexistence of single- and two-particle condensation in an interacting boson gas@@@@@@Received: 20 September 1968 Revised: 14 March 1969 Published: 22 December 2015 Issue Date: September 1969@@@The aim of this article is to study the single- and two-particle condensations in an interacting boson system atT=0. The authors develop a model which makes it possible to pass through a first-order phase transition from one type of condensation to the other; at the critical point they note coexistence of both states. This type of model can give insight into some effects which have been observed in helium and which may depend on the presence of both types of condensation.@@@Alcuni
Attractive Potential
Boson System
Elio
Particle Number Operator"
"7","Absorption of air plasma in the near IR spectral region@@@@@@Received: 23 March 1973 Issue Date: December 1973@@@@@@Analytical Chemistry
Molecular Structure
Spectral Region"
"8","Metabolism, excretion and toxicology of methylchloroform in acute and subacute exposed rats@@@@@@Received: 21 September 1973 Issue Date: September 1974@@@In acute and subacute inhalation studies rats were exposed to methylchloroform. In the 4-h exposure the concentrations were approximately 220 and 440 ppm, and in the 3-month study (5×8 h/week) approximately 204 ppm (MAC= 200 ppm).

The behavior of methylchloroform and its metabolites (trichloroethanol and trichloroacetic acid) in the expired air, blood, and urine was investigated. A gaschromatographic method for the determination of methylchloroform is described. Most of the methylchloroform is eliminated unchanged via the lungs.

In the subchronic inhalation studies, methylchloroform concentrations within the range of the MAC were tolerated with no symptoms. During this time, the concentrations of methylchloroform and trichloroethanol in the blood and the concentration of trichloroacetic acid in the urine remained constant. The urinary trichloroethanol excretion increased until the 10th week, then it fell and remained constant at a level somewhat below the maximum concentration. Methylchloroform was not detectable in organ tissue. The results of the metabolic studies are discussed.@@@Methylchloroform
Exposure on Rats
Excretion
Metabolism
Trichloroethanol, Trichloroacetic Acid"
"9","Metabolism, excretion and toxicology of methylchloroform in acute and subacute exposed rats@@@@@@Received: 21 September 1973 Issue Date: September 1974@@@In acute and subacute inhalation studies rats were exposed to methylchloroform. In the 4-h exposure the concentrations were approximately 220 and 440 ppm, and in the 3-month study (5×8 h/week) approximately 204 ppm (MAC= 200 ppm).

The behavior of methylchloroform and its metabolites (trichloroethanol and trichloroacetic acid) in the expired air, blood, and urine was investigated. A gaschromatographic method for the determination of methylchloroform is described. Most of the methylchloroform is eliminated unchanged via the lungs.

In the subchronic inhalation studies, methylchloroform concentrations within the range of the MAC were tolerated with no symptoms. During this time, the concentrations of methylchloroform and trichloroethanol in the blood and the concentration of trichloroacetic acid in the urine remained constant. The urinary trichloroethanol excretion increased until the 10th week, then it fell and remained constant at a level somewhat below the maximum concentration. Methylchloroform was not detectable in organ tissue. The results of the metabolic studies are discussed.@@@Methylchloroform
Exposition von Ratten
Ausscheidung
Stoffwechsel
Trichloräthanol, Trichloressigsäure"
"10","Asphalt quality and strength of asphalt pavements@@@@@@Issue Date: October 1977@@@@@@Asphalt
Asphalt Pavement
Asphalt Quality"
"11","Influence of polycyclic aromatic hydrocarbons on thermal-oxidative stability of hydrocracked oils@@@@@@Issue Date: October 1977@@@@@@Hydrocarbon
Polycyclic Aromatic Hydrocarbon
Aromatic Hydrocarbon"
"12","Kinetics of wax crystallization from methyl ethyl ketone solutions@@@@@@Issue Date: October 1977@@@@@@Methyl
Crystallization
Ethyl
Ketone
Methyl Ethyl"
"13","Extraction of sulfonic acids in continuous process unit@@@@@@Issue Date: October 1977@@@@@@Sulfonic Acid
Process Unit
Continuous Process"
"14","Combined influence of gamma radiation and temperature on hydrocarbon composition of cuts from secondary processing of petroleum feedstock@@@@@@Issue Date: October 1977@@@@@@Radiation
Petroleum
Hydrocarbon
Gamma Radiation
Secondary Processing"
"15","Chemical composition of catalytically cracked gas oils and oils produced by adsorptive treatment@@@@@@Issue Date: October 1977@@@@@@Adsorptive Treatment"
"16","Esterification of trimellitic anhydride with n-octyl alcohol@@@@@@Issue Date: October 1977@@@@@@Alcohol
Anhydride
Trimellitic Anhydride"
"17","Operation of reconstructed catalytic cracking unit with recycle@@@@@@Issue Date: October 1977@@@@@@"
"18","Increasing the resources of jet fuels@@@@@@Issue Date: October 1977@@@@@@"
"19","Providing the aluminum and carbon industries with high-quality petroleum coke — A most important economic task@@@@@@Issue Date: October 1977@@@@@@Aluminum
Petroleum
Petroleum Coke
Economic Task
Carbon Industry"
"20","Effect of prostaglandin E2 on the permeability of the iris vessels to horseradish peroxidase in the rabbit@@@@@@Received: 30 March 1978 Issue Date: September 1978@@@Prostaglandin E2 (0.5 μg in 10 μl 10% ethanol) was introduced into the anterior chambers of rabbit eyes. Using the horseradish peroxidase method, it was shown under the electron microscope that the endothelial barrier of the iris vessels broke down. The peroxidase penetrated as far as the basis of the posterior epithelial cells, however, without entering their lateral intercellular spaces. The question of whether the effect of prostaglandins on the barrier was a direct effect or at least a partially indirect one, i.e., a haemodynamic action, is discussed.@@@Public Health
Electron Microscope
Permeability
Epithelial Cell
Direct Effect"
"21","Experimental and theoretical investigations of trestle piles@@@@@@Issue Date: January 1981@@@@@@Civil Engineer
Theoretical Investigation
Structural Foundation
Hydraulic Engineer"
"22","Organochloride pesticide residues in human milk in Hawaii, 1979–80@@@@@@Accepted: 14 July 1981 Issue Date: July 1981@@@@@@Waste Water
Water Management
Water Pollution
Human Milk
Pesticide Residue"
"23","Einstein's equations near spatial infinity@@@@@@Received: 03 March 1982 Revised: 20 May 1982 Issue Date: March 1982@@@A new class of space-times is introduced which, in a neighbourhood of spatial infinity, allows an expansion in negative powers of a radial coordinate. Einstein's vacuum equations give rise to a hierarchy of linear equations for the coefficients in this expansion. It is demonstrated that this hierarchy can be completely solved provided the initial data satisfy certain constraints.@@@Neural Network
Statistical Physic
Complex System
Initial Data
Linear Equation"
"24","Thermogravimetric characterization of Quayarah heavy crude oils@@@@@@Received: 25 March 1985 Issue Date: March 1986@@@Five heavy crude oil samples from the Quayarah field were thermally evaluated using two modes of thermogravimetry (TG): dynamic and programmed TG with heating and hold-up periods at 350 and 550°. The light and medium volatility fraction (L+M) appeared directly proportional to the metal content. In contrast, the heavy fraction (H) (350–550°) was inversely proportional to the metal content. This contradiction was attributed to the autocatalytic degradation of some of the heavy fraction into lighter species, which upgrades the crude with respect to the (L+M) fraction at the expense of the heavy fraction. The crudes were identical with regard to the ratio (L+M) to (H+R), whereR=residue, as a consequence of their identical API gravity and sulphur contents.

The rate of degradative volatilization of the heavy fraction was measured by DTG, which indicated a direct correlation with the vanadium content as regards the onset temperatures and the DTG peak maximum.@@@Vanadium
Volatility
Metal Content
Sulphur Content
Heavy Fraction"
"25","An analog of the concentration function@@@@@@Issue Date: October 1986@@@@@@Concentration Function"
"26","Instability in the G¦G¦1¦∞ queueing system@@@@@@Issue Date: October 1986@@@@@@"
"27","Semiinvariants in the theory of characterization of probability distributions@@@@@@Issue Date: October 1986@@@@@@Probability Distribution"
"28","A new empirical statistical methodology for detection of parallelisms and dating of duplicates@@@@@@Issue Date: October 1986@@@@@@Statistical Methodology"
"29","Bounds on stability of decompositions in semigroups of functions representable by Jacobi polynomial series@@@@@@Issue Date: October 1986@@@@@@Polynomial Series"
"30","Some properties of Urbanik's generalized convolutions@@@@@@Issue Date: October 1986@@@@@@Convolution
Generalize Convolution"
"31","Orders of rate of convergence bounds in a Hilbert-space central limit theorem@@@@@@Issue Date: October 1986@@@@@@Limit Theorem
Central Limit
Central Limit Theorem
Convergence Bound"
"32","Ideal quadratic metrics@@@@@@Issue Date: October 1986@@@@@@"
"33","Estimation of the prior distribution density@@@@@@Issue Date: October 1986@@@@@@Distribution Density
Prior Distribution
Prior Distribution Density"
"34","Stability of the estimation problem for the displacement parameter@@@@@@Issue Date: October 1986@@@@@@Estimation Problem
Displacement Parameter"
"35","The Khinchin inequality@@@@@@Issue Date: October 1986@@@@@@"
"36","Property of ɛ-lack of memory at finitely many points and stability of characterization of the exponential distribution@@@@@@Issue Date: October 1986@@@@@@Exponential Distribution"
"37","A characterization of queueing models and its stability@@@@@@Issue Date: October 1986@@@@@@"
"38","Stability of one characterization of the generalized gamma distribution@@@@@@Issue Date: October 1986@@@@@@Gamma Distribution
Generalize Gamma
Generalize Gamma Distribution"
"39","Asymptotic behavior of the Gaussian measure inZ 2@@@@@@Issue Date: October 1986@@@@@@Asymptotic Behavior
Gaussian Measure"
"40","Multivariate ℬ-stable distributions and realization of generalized convolutions@@@@@@Issue Date: October 1986@@@@@@Convolution
Generalize Convolution"
"41","A model in the theory of water reservoirs@@@@@@Issue Date: October 1986@@@@@@Water Reservoir"
"42","A periodic solution of the takacs equation@@@@@@Issue Date: October 1986@@@@@@Periodic Solution"
"43","Estimating the approximation accuracy of Harris-recurrent Markov chains@@@@@@Issue Date: October 1986@@@@@@Markov Chain
Approximation Accuracy"
"44","Convergence of products of independent random variables@@@@@@Issue Date: October 1986@@@@@@Independent Random Variable"
"45","The Healing Time of Duodenal Ulcer is Significantly Reduced@@@@@@Published: 20 February 2013 Issue Date: November 1987@@@@@@Antimicrobial Agent
Duodenal Ulcer
Ranitidine
Standard Therapy
Ofloxacin"
"46","Neue Geräte und Chemikalien@@@@@@Issue Date: July 1988@@@@@@"
"47","Abstracts@@@@@@Issue Date: July 1988@@@@@@Physical Chemistry
Analytical Chemistry
Inorganic Chemistry"
"48","Bestimmung von Butylhydroxytoluol (BHT) in Mischfuttermitteln mittels HPLC@@@@@@Received: 11 February 1988 Issue Date: July 1988@@@@@@"
"49","Quantitative photometrische Mikrobestimmung von Polysacchariden@@@@@@Received: 16 January 1988 Issue Date: July 1988@@@@@@"
"50","Analytische Untersuchungen zur Adsorption von Phenolverbindungen an einem Polyvinylacetatharz@@@@@@Received: 30 December 1987 Issue Date: July 1988@@@@@@"
"51","Tosylchloramid-Natrium — ein Detektionsmittel zur dünnschicht-chromatographischen Identifizierung organischer Verbindungen@@@@@@Received: 30 December 1987 Issue Date: July 1988@@@@@@"
"52","Bestimmung von Bor in Ferrobor mit der ICP-Spektrometrie@@@@@@Received: 09 February 1988 Issue Date: July 1988@@@@@@"
"53","Toxicological detection of ethylenediamine and piperazine antihistamines and their metabolites in urine by computerized gas chromatography-mass spectrometry@@@@@@Received: 29 December 1987 Issue Date: July 1988@@@A gas chromatographic-mass spectrometric procedure for the detection of the following ethylenediamine and piperazine antihistamines and their metabolites in urine after acid hydrolysis, extraction and acetylation is described: Adeptolon, antazoline, bamipine, buclizine, chlorcyclizine, chloropyramine, cinnarizine, clemizole, cyclizine, etodroxizine, histapyrrodine, hydroxyzine, meclozine, mepyramine, oxatomide and tripelenamine. The acetylated extract was analysed by computerized gas chromatography-mass spectrometry. Using ion chromatography with the selective ions m/z 58, 72, 85, 125, 165, 183, 198 and 201 the possible presence of ethylenediamine or piperazine antihistamines or their metabolites was indicated. The identity of positive signals in the reconstructed ion chromatograms was then confirmed by a visual or computerized comparison of the stored full mass spectra with the reference spectra. The ion chromatograms, reference mass spectra and gas chromatographic retention indices (OV-101) are documented. The procedure presented is integrated in a general screening procedure (general unknown analysis) for several groups of drugs.@@@Hydroxyzine
Cinnarizine
Mepyramine
Oxatomide
Cyclizine"
"54","Chromatographic behaviour (GC and HPLC) of 1,n-bis(alkylthio)alkanes@@@@@@Received: 18 February 1988 Issue Date: July 1988@@@The retention behaviour of 1,n-bis(alkylthio)alkanes (39 compounds, R1-S-(CH2)n-S-R2) was characterized by gas chromatography on a SE 54 capillary column and by high pressure liquid chromatography on a ODS phase. Generally, the retention times depend both on the number of methylene groups (n) between the two sulphur atoms and on the alkyl groups R1 and R2. Substitution of n-alkyl groups R by e.g.,i-propyl ort-butyl leads to a decrease in the retention times. This can be explained by the weaker attachement of bulky alkyl groups to the ODS phase (HPLC) and lower boiling points (GC), respectively. A linear correlation was found between boiling points and retention data (Kovats indices) in GC. In HPLC the retention increments of the methylene groups — (CH2)n — between the two sulphur atoms are lower in the case ofn=2–4 than forn>4, which can be related to a sulphur-sulphur interaction.@@@HPLC
Retention Time
Alkane
Alkyl Group
Boiling Point"
"55","High-performance liquid chromatography using a color-forming agent as a component of the mobile phase@@@@@@Received: 22 January 1988 Issue Date: July 1988@@@A liquid chromatographic procedure for separating alkaline earth metal cations with a chelating gel column has been developed. o-Cresolphthaleine complexone, which is one of the sensitive and commercially available color-forming agents, was used as a component of the mobile phase. Magnesium and calcium could be separated on the gel column within a few minutes. The procedure is suitable for the separation of alkaline earth metal cations in relatively heavy solutions with high sensitivity. The procedure is also potentially available for any aqueous samples.@@@Calcium
Chromatography
Physical Chemistry
Analytical Chemistry
HPLC"
