"i","article_type","Received","Accepted","tat","year","issue_type"
"https://www.mdpi.com/2077-0472/11/5/452","Article",2021-04-01,2021-05-13,42,2021,"No"
"https://www.mdpi.com/2077-0472/11/5/453","Review",2021-04-30,2021-05-14,14,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/454","Article",2021-04-08,2021-05-16,38,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/455","Article",2021-04-08,2021-05-15,37,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/456","Article",2021-03-31,2021-05-14,44,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/457","Review",2021-03-15,2021-05-14,60,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/458","Article",2021-04-08,2021-05-17,39,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/459","Article",2021-04-13,2021-05-13,30,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/460","Article",2021-03-16,2021-05-12,57,2021,"Section"
"https://www.mdpi.com/2077-0472/11/5/461","Review",2021-04-12,2021-05-11,29,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/462","Article",2021-04-08,2021-05-14,36,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/463","Review",2021-04-16,2021-05-17,31,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/464","Article",2021-03-24,2021-05-11,48,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/465","Article",2021-04-21,2021-05-19,28,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/5/466","Article",2021-04-06,2021-05-17,41,2021,"Section"
"https://www.mdpi.com/2077-0472/11/5/467","Article",2021-04-12,2021-05-17,35,2021,"Section"
"https://www.mdpi.com/2077-0472/11/6/468","Article",2021-03-30,2021-05-20,51,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/469","Article",2021-04-03,2021-05-18,45,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/470","Article",2021-04-16,2021-05-20,34,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/471","Article",2021-04-15,2021-05-17,32,2021,"No"
"https://www.mdpi.com/2077-0472/11/6/472","Article",2021-04-10,2021-05-19,39,2021,"Section"
"https://www.mdpi.com/2077-0472/11/6/473","Article",2021-04-28,2021-05-20,22,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/474","Article",2021-04-10,2021-05-18,38,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/475","Review",2021-04-08,2021-04-26,18,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/476","Review",2021-04-22,2021-05-19,27,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/477","Article",2021-03-24,2021-05-20,57,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/478","Article",2021-03-22,2021-05-20,59,2021,"Section"
"https://www.mdpi.com/2077-0472/11/6/479","Article",2021-05-04,2021-05-19,15,2021,"Section"
"https://www.mdpi.com/2077-0472/11/6/480","Article",2021-04-04,2021-05-20,46,2021,"No"
"https://www.mdpi.com/2077-0472/11/6/481","Article",2021-03-25,2021-05-21,57,2021,"Section"
"https://www.mdpi.com/2077-0472/11/6/482","Article",2021-04-17,2021-05-21,34,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/483","Article",2021-04-29,2021-05-21,22,2021,"Special Issue"
"https://www.mdpi.com/2077-0472/11/6/484","Review",2021-04-05,2021-05-20,45,2021,"Special Issue"
