"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"1","/1424-2818/14/12/1031",2022-09-27,2022-11-21,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Soil Fauna Diversity under Global Change)
",59,"Yes"
"2","/1424-2818/14/12/1032",2022-08-21,2022-11-04,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Integrated Taxonomy of Protists: Morphology, Genes and Symbionts)
",96,"Yes"
"3","/1424-2818/14/12/1033",2022-10-30,2022-11-21,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Ecology, Diversity, and Conservation of Primates)
",26,"Yes"
"4","/1424-2818/14/12/1034",2022-10-15,2022-11-12,2022-11-18,2022-11-26,"(This article belongs to the Special Issue Key Aspects in the Ecology and Diversity of Desert-Dwelling Bats)
",42,"Yes"
"5","/1424-2818/14/12/1035",2022-10-31,2022-11-23,2022-11-25,2022-11-26,"(This article belongs to the Special Issue Soil Fauna Diversity under Global Change)
",26,"Yes"
"6","/1424-2818/14/12/1036",2022-10-13,2022-11-14,2022-11-14,2022-11-26,"(This article belongs to the Special Issue Ecosystem Observation, Simulation and Assessment)
",44,"Yes"
"7","/1424-2818/14/12/1037",2022-10-21,2022-11-22,2022-11-25,2022-11-26,"(This article belongs to the Special Issue Soil Fauna Diversity under Global Change)
",36,"Yes"
"8","/1424-2818/14/12/1038",2022-09-14,2022-10-28,2022-11-24,2022-11-26,"(This article belongs to the Special Issue Systematics, Evolution and Ecology of Holarctic Insect Species)
",73,"Yes"
"9","/1424-2818/14/12/1039",2022-10-25,2022-11-22,2022-11-23,2022-11-27,"(This article belongs to the Special Issue Diversity of Wildlife Pathogens)
",33,"Yes"
"10","/1424-2818/14/12/1040",2022-10-23,2022-11-20,2022-11-25,2022-11-27,"(This article belongs to the Special Issue Biodiversity and Ecology Research in Russia: Recent Advances and Future Trends)
",35,"Yes"
"11","/1424-2818/14/12/1023",2022-10-17,2022-11-15,2022-11-21,2022-11-24,"(This article belongs to the Topic Fungal Diversity)
",38,"Yes"
"12","/1424-2818/14/12/1024",2022-10-16,2022-11-20,2022-11-21,2022-11-24,"(This article belongs to the Special Issue Forest Management and Biodiversity Conservation)
",39,"Yes"
"13","/1424-2818/14/12/1022",2022-09-07,2022-10-28,2022-11-16,2022-11-24,"(This article belongs to the Special Issue Biodiversity and Biogeography of Freshwater Fish)
",78,"Yes"
"14","/1424-2818/14/12/1021",2022-08-22,2022-10-18,2022-11-15,2022-11-24,"",94,"No"
"15","/1424-2818/14/12/1026",2022-11-04,2022-11-15,2022-11-17,2022-11-24,"(This article belongs to the Special Issue Evolution and Diversity of Fishes in Deep Time)
",20,"Yes"
