"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"1","/2076-2607/10/12/2349",2022-08-24,2022-10-12,2022-11-23,2022-11-28,"(This article belongs to the Special Issue Orthopedic Infection Characterized by the Presence of Bacterial Biofilm on the Surface of Implants)
",96,"Yes"
"2","/2076-2607/10/12/2350",2022-10-13,2022-11-06,2022-11-17,2022-11-28,"(This article belongs to the Topic Application of Probiotics and Their Potential Health Benefits)
",46,"Yes"
"3","/2076-2607/10/12/2351",2022-09-04,2022-10-03,2022-10-31,2022-11-28,"(This article belongs to the Section Antimicrobial Agents and Resistance)
",85,"Yes"
"4","/2076-2607/10/12/2352",2022-10-31,2022-11-23,2022-11-23,2022-11-28,"(This article belongs to the Special Issue Metabolism in the Gram-Positive Model Bacterium Bacillus subtilis)
",28,"Yes"
"5","/2076-2607/10/12/2353",2022-11-06,2022-11-20,2022-11-23,2022-11-28,"(This article belongs to the Special Issue Characterisation and Molecular Analysis of Staphylococcal Species: Their Impact on Colonization and Infection)
",22,"Yes"
"6","/2076-2607/10/12/2354",2022-10-25,2022-11-21,2022-11-22,2022-11-28,"(This article belongs to the Special Issue Fungicide Resistance in Plant Pathogen)
",34,"Yes"
"7","/2076-2607/10/12/2355",2022-10-26,2022-11-18,2022-11-21,2022-11-28,"(This article belongs to the Section Microbial Biotechnology)
",33,"Yes"
"8","/2076-2607/10/12/2357",2022-09-03,2022-11-10,2022-11-15,2022-11-29,"(This article belongs to the Section Biofilm)
",87,"Yes"
"9","/2076-2607/10/12/2356",2022-11-03,2022-11-21,2022-11-27,2022-11-29,"(This article belongs to the Special Issue Plasmodium falciparum: Host-Parasite Interaction)
",26,"Yes"
"10","/2076-2607/10/12/2358",2022-10-30,2022-11-27,2022-11-28,2022-11-29,"(This article belongs to the Special Issue Foodborne and Waterborne Pathogens)
",30,"Yes"
"11","/2076-2607/10/12/2339",2022-10-11,2022-11-18,2022-11-21,2022-11-25,"(This article belongs to the Special Issue Infectious Diseases in Organ Transplantation)
",45,"Yes"
"12","/2076-2607/10/12/2340",2022-08-28,2022-10-12,2022-11-18,2022-11-26,"(This article belongs to the Special Issue Microbiomes of Aquatic Organisms)
",90,"Yes"
"13","/2076-2607/10/12/2341",2022-09-22,2022-10-05,2022-10-21,2022-11-26,"(This article belongs to the Special Issue Bacterial Plant Communities: Diversity, Molecular Interactions, and Plant Growth Promotion-2nd Edition)
",65,"Yes"
"14","/2076-2607/10/12/2342",2022-11-04,2022-11-22,2022-11-24,2022-11-26,"(This article belongs to the Section Molecular Microbiology and Immunology)
",22,"Yes"
"15","/2076-2607/10/12/2343",2022-11-11,2022-11-24,2022-11-24,2022-11-26,"(This article belongs to the Special Issue Probiotics, Prebiotics and Functional Foods: Health Benefits and Biosafety)
",15,"Yes"
"16","/2076-2607/10/12/2344",2022-10-19,2022-11-22,2022-11-24,2022-11-26,"(This article belongs to the Special Issue Beneficial Microbes: Food, Mood and Beyond)
",38,"Yes"
"17","/2076-2607/10/12/2345",2022-11-05,2022-11-19,2022-11-26,2022-11-27,"(This article belongs to the Special Issue Microbial Cellulose Utilization)
",22,"Yes"
"18","/2076-2607/10/12/2346",2022-11-11,2022-11-23,2022-11-24,2022-11-27,"(This article belongs to the Special Issue Host–Bacteria Interactions in Aquaculture Systems)
",16,"Yes"
"19","/2076-2607/10/12/2348",2022-11-10,2022-11-22,2022-11-24,2022-11-28,"(This article belongs to the Special Issue Advances in Microbial Biofilms Formation)
",18,"Yes"
"20","/2076-2607/10/12/2347",2022-11-02,2022-11-20,2022-11-21,2022-11-28,"(This article belongs to the Special Issue Advances in Microbial Biosynthesis)
",26,"Yes"
"21","/2076-2607/10/12/2329",2022-10-04,2022-11-19,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Prosthetic and Bone Infections: A Multidisciplinary Approach)
",52,"Yes"
"22","/2076-2607/10/12/2330",2022-10-17,2022-11-18,2022-11-19,2022-11-25,"(This article belongs to the Special Issue Host–Bacteria Interactions in Aquaculture Systems)
",39,"Yes"
"23","/2076-2607/10/12/2331",2022-10-25,2022-11-17,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Genome Analysis of Microbial Communities in Environments)
",31,"Yes"
"24","/2076-2607/10/12/2332",2022-10-30,2022-11-16,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Biofilm Formation and Survival Strategies)
",26,"Yes"
"25","/2076-2607/10/12/2334",2022-10-26,2022-11-20,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Mycobacterium tuberculosis Infection: Control & Treatment)
",30,"Yes"
"26","/2076-2607/10/12/2333",2022-09-15,2022-11-22,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Microorganisms in Biomass Conversion and Biofuel Production)
",71,"Yes"
"27","/2076-2607/10/12/2335",2022-11-09,2022-11-21,2022-11-22,2022-11-25,"(This article belongs to the Special Issue New Microbial Sources of Natural Products: Their Biology, Chemistry and Biosynthetic Machinery)
",16,"Yes"
"28","/2076-2607/10/12/2338",2022-10-31,2022-11-22,2022-11-24,2022-11-25,"(This article belongs to the Special Issue The Role of the Gut Microbiota in Human Health and Disease)
",25,"Yes"
