"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"1","/2223-7747/11/23/3253",2022-09-19,2022-11-17,2022-11-22,2022-11-26,"(This article belongs to the Section Plant Genetics, Genomics and Biotechnology)
",68,"Yes"
"2","/2223-7747/11/23/3252",2022-10-10,2022-11-22,2022-11-23,2022-11-26,"(This article belongs to the Section Phytochemistry)
",47,"Yes"
"3","/2223-7747/11/23/3254",2022-10-20,2022-11-16,2022-11-23,2022-11-26,"(This article belongs to the Special Issue Advances in Biochar Applications for Agricultural and Forest Ecosystems)
",37,"Yes"
"4","/2223-7747/11/23/3255",2022-10-16,2022-11-09,2022-11-24,2022-11-27,"(This article belongs to the Special Issue Latest Research on Biological Control of Pests and Crop Protection)
",42,"Yes"
"5","/2223-7747/11/23/3256",2022-10-18,2022-11-23,2022-11-24,2022-11-27,"(This article belongs to the Special Issue Trends and Prospects of Genetic and Molecular Research in Plant)
",40,"Yes"
"6","/2223-7747/11/23/3258",2022-10-21,2022-11-19,2022-11-22,2022-11-27,"(This article belongs to the Special Issue Regulation of Crop Quality and Stress Responses)
",37,"Yes"
"7","/2223-7747/11/23/3259",2022-10-13,2022-11-18,2022-11-25,2022-11-27,"(This article belongs to the Special Issue Plants for Extreme and Changing Environments: Domestication, Evolution, Crop Breeding and Genetics)
",45,"Yes"
"8","/2223-7747/11/23/3257",2022-10-26,2022-11-22,2022-11-25,2022-11-27,"(This article belongs to the Special Issue Advanced Technologies in High Resolution Plant Phenotyping)
",32,"Yes"
"9","/2223-7747/11/23/3261",2022-11-03,2022-11-18,2022-11-24,2022-11-27,"(This article belongs to the Special Issue Advances in Cereal Science and Cereal Quality)
",24,"Yes"
"10","/2223-7747/11/23/3260",2022-10-24,2022-11-20,2022-11-23,2022-11-27,"(This article belongs to the Collection Application of AI in Plants)
",34,"Yes"
"11","/2223-7747/11/23/3243",2022-10-26,2022-11-16,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Extraction, Characterization and Biological Activity of Natural Products)
",30,"Yes"
"12","/2223-7747/11/23/3242",2022-10-15,2022-11-10,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Physiological and Genetic Mechanisms of Abiotic Stress Tolerance in Crops)
",41,"Yes"
"13","/2223-7747/11/23/3244",2022-09-09,2022-11-16,2022-11-22,2022-11-25,"",77,"No"
"14","/2223-7747/11/23/3245",2022-10-31,2022-11-21,2022-11-23,2022-11-26,"(This article belongs to the Special Issue The Role of Fertilizers in Boosting Plant Adaptation to Biotic and Abiotic Stresses)
",26,"Yes"
"15","/2223-7747/11/23/3246",2022-10-31,2022-11-20,2022-11-22,2022-11-26,"(This article belongs to the Special Issue Advances in Forest Ecophysiology: Stress Response and Ecophysiological Indicators of Tree Vitality)
",26,"Yes"
"16","/2223-7747/11/23/3247",2022-11-08,2022-11-20,2022-11-22,2022-11-26,"(This article belongs to the Special Issue Gene Networks in Seeds)
",18,"Yes"
"17","/2223-7747/11/23/3248",2022-09-28,2022-11-22,2022-11-23,2022-11-26,"(This article belongs to the Special Issue Plant Invasion Ecology)
",59,"Yes"
"18","/2223-7747/11/23/3249",2022-10-22,2022-11-12,2022-11-23,2022-11-26,"(This article belongs to the Special Issue Effects of Environmental Stress on Fruit Physiology, Growth and Quality)
",35,"Yes"
"19","/2223-7747/11/23/3250",2022-10-28,2022-11-22,2022-11-23,2022-11-26,"(This article belongs to the Special Issue Virus Detection and Quantification in Plants)
",29,"Yes"
"20","/2223-7747/11/23/3251",2022-10-25,2022-11-24,2022-11-24,2022-11-26,"(This article belongs to the Special Issue Biotic-Abiotic Stress on Young Seedlings)
",32,"Yes"
"21","/2223-7747/11/23/3232",2022-10-26,2022-11-19,2022-11-20,2022-11-25,"(This article belongs to the Special Issue Mutagenesis in the Age of Next-Generation-Sequencing and Genome Editing)
",30,"Yes"
"22","/2223-7747/11/23/3234",2022-09-23,2022-10-28,2022-11-02,2022-11-25,"(This article belongs to the Special Issue Advances in Biochar Applications for Agricultural and Forest Ecosystems)
",63,"Yes"
"23","/2223-7747/11/23/3235",2022-10-22,2022-11-21,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Plant Allelopathy: Mechanisms and Applications in Regenerative Agriculture)
",34,"Yes"
"24","/2223-7747/11/23/3233",2022-10-28,2022-11-23,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Extraction, Characterization and Biological Activity of Natural Products)
",28,"Yes"
"25","/2223-7747/11/23/3238",2022-10-19,2022-11-15,2022-11-22,2022-11-25,"",37,"No"
"26","/2223-7747/11/23/3236",2022-09-28,2022-11-15,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Advances in Ecophysiology of Root Systems-Environment Interaction)
",58,"Yes"
