"","link","Received","Revised","Accepted","Published","Special_issue","days"
"1","/2223-7747/11/23/3222",2022-10-30,2022-11-17,2022-11-21,2022-11-24,"Yes",25
"2","/2223-7747/11/23/3224",2022-09-09,2022-11-15,2022-11-16,2022-11-24,"Yes",76
"3","/2223-7747/11/23/3225",2022-10-22,2022-11-17,2022-11-22,2022-11-24,"Yes",33
"4","/2223-7747/11/23/3223",2022-09-15,2022-11-11,2022-11-21,2022-11-24,"Yes",70
"5","/2223-7747/11/23/3226",2022-10-30,2022-11-16,2022-11-24,2022-11-24,"Yes",25
"6","/2223-7747/11/23/3227",2022-10-17,2022-11-14,2022-11-18,2022-11-25,"Yes",39
"7","/2223-7747/11/23/3228",2022-10-26,2022-11-18,2022-11-23,2022-11-25,"Yes",30
"8","/2223-7747/11/23/3229",2022-08-31,2022-09-28,2022-10-03,2022-11-25,"Yes",86
"9","/2223-7747/11/23/3230",2022-10-31,2022-11-23,2022-11-23,2022-11-25,"Yes",25
"10","/2223-7747/11/23/3231",2022-10-28,2022-11-17,2022-11-23,2022-11-25,"Yes",28
"11","/2223-7747/11/23/3212",2022-10-30,2022-11-15,2022-11-21,2022-11-23,"Yes",24
"12","/2223-7747/11/23/3213",2022-10-20,2022-11-10,2022-11-20,2022-11-23,"Yes",34
"13","/2223-7747/11/23/3214",2022-10-08,2022-11-18,2022-11-21,2022-11-24,"Yes",47
"14","/2223-7747/11/23/3215",2022-10-26,2022-11-13,2022-11-15,2022-11-24,"Yes",29
"15","/2223-7747/11/23/3217",2022-10-20,2022-11-10,2022-11-21,2022-11-24,"Yes",35
"16","/2223-7747/11/23/3216",2022-10-25,2022-11-15,2022-11-23,2022-11-24,"Yes",30
"17","/2223-7747/11/23/3218",2022-08-23,2022-10-20,2022-10-22,2022-11-24,"Yes",93
"18","/2223-7747/11/23/3219",2022-10-11,2022-11-19,2022-11-21,2022-11-24,"Yes",44
"19","/2223-7747/11/23/3220",2022-10-10,2022-11-10,2022-11-22,2022-11-24,"Yes",45
"20","/2223-7747/11/23/3221",2022-10-24,2022-11-14,2022-11-21,2022-11-24,"Yes",31
"21","/2223-7747/11/23/3202",2022-10-20,2022-11-16,2022-11-18,2022-11-23,"Yes",34
"22","/2223-7747/11/23/3203",2022-11-06,2022-11-20,2022-11-21,2022-11-23,"Yes",17
"23","/2223-7747/11/23/3204",2022-09-23,2022-11-16,2022-11-20,2022-11-23,"Yes",61
"24","/2223-7747/11/23/3206",2022-10-29,2022-11-14,2022-11-17,2022-11-23,"Yes",25
"25","/2223-7747/11/23/3207",2022-08-08,2022-11-13,2022-11-20,2022-11-23,"Yes",107
"26","/2223-7747/11/23/3208",2022-10-19,2022-11-17,2022-11-17,2022-11-23,"Yes",35
"27","/2223-7747/11/23/3205",2022-10-26,2022-11-16,2022-11-19,2022-11-23,"Yes",28
"28","/2223-7747/11/23/3209",2022-09-23,2022-11-04,2022-11-09,2022-11-23,"Yes",61
"29","/2223-7747/11/23/3210",2022-09-30,2022-11-04,2022-11-21,2022-11-23,"Yes",54
"30","/2223-7747/11/23/3211",2022-10-17,2022-11-04,2022-11-07,2022-11-23,"Yes",37
"31","/2223-7747/11/23/3192",2022-10-10,2022-11-16,2022-11-20,2022-11-22,"Yes",43
"32","/2223-7747/11/23/3193",2022-10-28,2022-11-09,2022-11-14,2022-11-22,"Yes",25
"33","/2223-7747/11/23/3194",2022-10-21,2022-11-12,2022-11-14,2022-11-22,"Yes",32
"34","/2223-7747/11/23/3195",2022-10-06,2022-11-17,2022-11-18,2022-11-22,"Yes",47
"35","/2223-7747/11/23/3196",2022-11-01,2022-11-18,2022-11-19,2022-11-22,"Yes",21
"36","/2223-7747/11/23/3197",2022-10-01,2022-11-16,2022-11-17,2022-11-22,"Yes",52
"37","/2223-7747/11/23/3198",2022-09-20,2022-11-18,2022-11-20,2022-11-22,"Yes",63
"38","/2223-7747/11/23/3199",2022-09-15,2022-11-16,2022-11-21,2022-11-23,"Yes",69
"39","/2223-7747/11/23/3200",2022-10-21,2022-11-15,2022-11-20,2022-11-23,"Yes",33
"40","/2223-7747/11/23/3201",2022-10-06,2022-11-09,2022-11-17,2022-11-23,"Yes",48
"41","/2223-7747/11/22/3182",2022-07-09,2022-11-13,2022-11-16,2022-11-21,"Yes",135
"42","/2223-7747/11/22/3185",2022-10-14,2022-11-09,2022-11-19,2022-11-21,"Yes",38
"43","/2223-7747/11/22/3184",2022-10-18,2022-11-10,2022-11-15,2022-11-21,"Yes",34
"44","/2223-7747/11/22/3183",2022-10-02,2022-11-09,2022-11-10,2022-11-21,"Yes",50
"45","/2223-7747/11/23/3186",2022-11-02,2022-11-15,2022-11-16,2022-11-22,"Yes",20
"46","/2223-7747/11/23/3187",2022-10-18,2022-11-13,2022-11-17,2022-11-22,"Yes",35
"47","/2223-7747/11/23/3188",2022-09-22,2022-11-17,2022-11-19,2022-11-22,"Yes",61
"48","/2223-7747/11/23/3189",2022-10-10,2022-11-13,2022-11-16,2022-11-22,"Yes",43
"49","/2223-7747/11/23/3190",2022-09-29,2022-11-15,2022-11-18,2022-11-22,"Yes",54
"50","/2223-7747/11/23/3191",2022-11-01,2022-11-16,2022-11-16,2022-11-22,"Yes",21
"51","/2223-7747/11/22/3172",2022-10-31,2022-11-14,2022-11-16,2022-11-20,"Yes",20
"52","/2223-7747/11/22/3173",2022-10-18,2022-11-14,2022-11-16,2022-11-20,"Yes",33
"53","/2223-7747/11/22/3174",2022-08-28,2022-11-03,2022-11-18,2022-11-20,"Yes",84
"54","/2223-7747/11/22/3175",2022-10-03,2022-11-14,2022-11-16,2022-11-21,"Yes",49
"55","/2223-7747/11/22/3176",2022-10-17,2022-11-14,2022-11-16,2022-11-21,"Yes",35
"56","/2223-7747/11/22/3177",2022-10-13,2022-11-09,2022-11-15,2022-11-21,"Yes",39
"57","/2223-7747/11/22/3179",2022-10-13,2022-11-16,2022-11-16,2022-11-21,"Yes",39
"58","/2223-7747/11/22/3180",2022-08-18,2022-11-14,2022-11-15,2022-11-21,"Yes",95
"59","/2223-7747/11/22/3181",2022-10-24,2022-11-16,2022-11-16,2022-11-21,"Yes",28
"60","/2223-7747/11/22/3178",2022-10-12,2022-11-07,2022-11-16,2022-11-21,"Yes",40
"61","/2223-7747/11/22/3163",2022-09-22,2022-10-12,2022-10-24,2022-11-18,"Yes",57
"62","/2223-7747/11/22/3164",2022-10-24,2022-11-17,2022-11-17,2022-11-18,"Yes",25
"63","/2223-7747/11/22/3159",2022-09-16,2022-11-02,2022-11-15,2022-11-18,"Yes",63
"64","/2223-7747/11/22/3165",2022-10-05,2022-11-10,2022-11-15,2022-11-18,"Yes",44
"65","/2223-7747/11/22/3166",2022-09-09,2022-11-07,2022-11-17,2022-11-18,"Yes",70
"66","/2223-7747/11/22/3167",2022-10-04,2022-11-04,2022-11-10,2022-11-18,"Yes",45
"67","/2223-7747/11/22/3168",2022-09-14,2022-11-11,2022-11-15,2022-11-18,"Yes",65
"68","/2223-7747/11/22/3169",2022-10-07,2022-11-13,2022-11-15,2022-11-19,"Yes",43
"69","/2223-7747/11/22/3170",2022-10-01,2022-11-08,2022-11-12,2022-11-19,"Yes",49
"70","/2223-7747/11/22/3171",2022-10-29,2022-11-11,2022-11-15,2022-11-19,"Yes",21
"71","/2223-7747/11/22/3152",2022-10-06,2022-11-03,2022-11-12,2022-11-18,"No",43
"72","/2223-7747/11/22/3153",2022-10-15,2022-11-06,2022-11-16,2022-11-18,"Yes",34
"73","/2223-7747/11/22/3154",2022-09-30,2022-11-04,2022-11-14,2022-11-18,"Yes",49
"74","/2223-7747/11/22/3155",2022-09-27,2022-11-07,2022-11-09,2022-11-18,"Yes",52
"75","/2223-7747/11/22/3156",2022-10-26,2022-11-15,2022-11-15,2022-11-18,"Yes",23
"76","/2223-7747/11/22/3157",2022-10-03,2022-11-08,2022-11-10,2022-11-18,"Yes",46
"77","/2223-7747/11/22/3158",2022-10-22,2022-11-10,2022-11-14,2022-11-18,"Yes",27
"78","/2223-7747/11/22/3160",2022-06-29,2022-10-17,2022-11-15,2022-11-18,"Yes",142
"79","/2223-7747/11/22/3161",2022-10-06,2022-10-28,2022-11-03,2022-11-18,"Yes",43
"80","/2223-7747/11/22/3162",2022-10-20,2022-11-13,2022-11-15,2022-11-18,"Yes",29
"81","/2223-7747/11/22/3143",2022-10-07,2022-11-10,2022-11-10,2022-11-17,"Yes",41
"82","/2223-7747/11/22/3142",2022-10-12,2022-11-11,2022-11-14,2022-11-17,"Yes",36
"83","/2223-7747/11/22/3144",2022-10-06,2022-11-04,2022-11-11,2022-11-17,"Yes",42
"84","/2223-7747/11/22/3146",2022-09-22,2022-10-21,2022-11-10,2022-11-17,"Yes",56
"85","/2223-7747/11/22/3147",2022-10-17,2022-11-08,2022-11-15,2022-11-17,"Yes",31
"86","/2223-7747/11/22/3145",2022-09-06,2022-10-06,2022-11-11,2022-11-17,"Yes",72
"87","/2223-7747/11/22/3149",2022-10-26,2022-11-14,2022-11-14,2022-11-17,"Yes",22
"88","/2223-7747/11/22/3148",2022-09-19,2022-10-25,2022-11-14,2022-11-17,"Yes",59
"89","/2223-7747/11/22/3150",2022-10-31,2022-11-13,2022-11-15,2022-11-17,"Yes",17
"90","/2223-7747/11/22/3151",2022-09-28,2022-10-22,2022-10-25,2022-11-17,"Yes",50
"91","/2223-7747/11/22/3133",2022-10-31,2022-11-13,2022-11-14,2022-11-16,"Yes",16
"92","/2223-7747/11/22/3132",2022-07-14,2022-10-30,2022-11-07,2022-11-16,"Yes",125
"93","/2223-7747/11/22/3134",2022-10-26,2022-11-08,2022-11-13,2022-11-16,"Yes",21
"94","/2223-7747/11/22/3135",2022-10-14,2022-11-07,2022-11-10,2022-11-16,"Yes",33
"95","/2223-7747/11/22/3136",2022-10-14,2022-10-26,2022-11-05,2022-11-16,"Yes",33
"96","/2223-7747/11/22/3137",2022-09-01,2022-11-03,2022-11-15,2022-11-16,"Yes",76
"97","/2223-7747/11/22/3138",2022-09-27,2022-11-07,2022-11-09,2022-11-16,"Yes",50
"98","/2223-7747/11/22/3139",2022-10-07,2022-11-08,2022-11-14,2022-11-16,"Yes",40
"99","/2223-7747/11/22/3140",2022-09-14,2022-11-03,2022-11-13,2022-11-16,"Yes",63
"100","/2223-7747/11/22/3141",2022-10-04,2022-11-11,2022-11-14,2022-11-16,"Yes",43
"101","/2223-7747/11/22/3122",2022-10-21,2022-11-09,2022-11-12,2022-11-15,"Yes",25
"102","/2223-7747/11/22/3123",2022-07-17,2022-09-25,2022-10-19,2022-11-15,"Yes",121
"103","/2223-7747/11/22/3124",2022-10-03,2022-10-26,2022-11-02,2022-11-16,"Yes",44
"104","/2223-7747/11/22/3125",2022-11-02,2022-11-11,2022-11-12,2022-11-16,"Yes",14
"105","/2223-7747/11/22/3126",2022-09-07,2022-11-04,2022-11-06,2022-11-16,"Yes",70
"106","/2223-7747/11/22/3127",2022-10-13,2022-11-09,2022-11-14,2022-11-16,"No",34
"107","/2223-7747/11/22/3128",2022-10-07,2022-10-25,2022-11-07,2022-11-16,"Yes",40
"108","/2223-7747/11/22/3129",2022-10-04,2022-11-08,2022-11-09,2022-11-16,"Yes",43
"109","/2223-7747/11/22/3130",2022-09-25,2022-11-09,2022-11-14,2022-11-16,"Yes",52
"110","/2223-7747/11/22/3131",2022-10-06,2022-11-12,2022-11-14,2022-11-16,"Yes",41
"111","/2223-7747/11/22/3112",2022-10-02,2022-11-08,2022-11-10,2022-11-15,"Yes",44
"112","/2223-7747/11/22/3113",2022-10-19,2022-11-06,2022-11-11,2022-11-15,"Yes",27
"113","/2223-7747/11/22/3115",2022-08-31,2022-10-30,2022-11-07,2022-11-15,"Yes",76
"114","/2223-7747/11/22/3114",2022-10-13,2022-11-12,2022-11-14,2022-11-15,"Yes",33
"115","/2223-7747/11/22/3116",2022-10-03,2022-11-03,2022-11-07,2022-11-15,"Yes",43
"116","/2223-7747/11/22/3117",2022-09-30,2022-11-09,2022-11-10,2022-11-15,"Yes",46
"117","/2223-7747/11/22/3118",2022-10-08,2022-11-04,2022-11-13,2022-11-15,"Yes",38
"118","/2223-7747/11/22/3120",2022-09-16,2022-10-21,2022-11-10,2022-11-15,"Yes",60
"119","/2223-7747/11/22/3119",2022-10-23,2022-11-10,2022-11-14,2022-11-15,"Yes",23
"120","/2223-7747/11/22/3121",2022-10-26,2022-11-07,2022-11-11,2022-11-15,"Yes",20
"121","/2223-7747/11/22/3102",2022-09-01,2022-10-02,2022-10-14,2022-11-15,"Yes",75
"122","/2223-7747/11/22/3103",2022-10-19,2022-11-09,2022-11-12,2022-11-15,"Yes",27
"123","/2223-7747/11/22/3105",2022-10-18,2022-11-09,2022-11-11,2022-11-15,"Yes",28
"124","/2223-7747/11/22/3104",2022-10-20,2022-11-06,2022-11-07,2022-11-15,"Yes",26
"125","/2223-7747/11/22/3106",2022-10-03,2022-11-05,2022-11-12,2022-11-15,"Yes",43
"126","/2223-7747/11/22/3107",2022-09-05,2022-10-21,2022-11-11,2022-11-15,"Yes",71
"127","/2223-7747/11/22/3108",2022-10-21,2022-11-12,2022-11-13,2022-11-15,"Yes",25
"128","/2223-7747/11/22/3109",2022-10-20,2022-11-09,2022-11-11,2022-11-15,"Yes",26
"129","/2223-7747/11/22/3110",2022-10-04,2022-10-27,2022-10-29,2022-11-15,"Yes",42
"130","/2223-7747/11/22/3111",2022-10-30,2022-11-13,2022-11-13,2022-11-15,"Yes",16
"131","/2223-7747/11/22/3094",2022-10-20,2022-10-27,2022-11-08,2022-11-14,"Yes",25
"132","/2223-7747/11/22/3093",2022-09-21,2022-10-14,2022-10-26,2022-11-14,"Yes",54
